Index,X_length,Y_length,U1,U2,Z_length
380,2440000.0,-5164788.2,7.9640277,-15.45154,3.4745481
381,2520000.0,-5164788.2,8.1234193,-15.274084,3.4485425
382,2600000.0,-5164788.2,8.2747223,-15.094295,3.4223919
383,2680000.0,-5164788.2,8.4179556,-14.912401,3.3961312
384,2760000.0,-5164788.2,8.5530751,-14.728626,3.3697902
385,2840000.0,-5164788.2,8.6801475,-14.543189,3.3432974
386,2920000.0,-5164788.2,8.7991346,-14.356301,3.3166474
387,2956192.9,-5164788.2,8.8503698,-14.271339,3.304368
388,3008852.4,-5164788.2,8.9218954,-14.147305,3.2864762
389,3085470.4,-5164788.2,9.0197405,-13.966069,3.2604313
390,3196947.2,-5164788.2,9.1490209,-13.70105,3.2229012
391,3359142.4,-5164788.2,9.3099501,-13.313633,3.1690435
392,3595131.4,-5164788.2,9.487606,-12.748635,3.0926409
393,3938487.9,-5164788.2,9.6315732,-11.931587,2.9864723
394,4438061.0,-5164788.2,9.6159768,-10.76993,2.8455509
395,5164924.1,-5164788.2,9.1814223,-9.1812608,2.6707173
396,6222487.3,-5164788.2,7.8551402,-7.0988813,2.4886632
397,7761208.6,-5164788.2,5.0100193,-4.4199563,2.3364455
398,10000000.0,-5164788.2,0.0,0.0,2.2765015
401,-10000000.0,-4437939.7,0.0,0.0,2.3119241
402,-7761109.3,-4437939.7,-5.6121643,-4.431093,2.3839978
403,-6222352.8,-4437939.7,-9.046313,-7.2928362,2.585812
404,-5164788.2,-4437939.7,-10.770208,-9.6160141,2.8455824
405,-4437939.7,-4437939.7,-11.443851,-11.443851,3.0968634
406,-3938387.5,-4437939.7,-11.575614,-12.801812,3.3086803
407,-3595052.6,-4437939.7,-11.481294,-13.772259,3.4698534
408,-3359083.6,-4437939.7,-11.319543,-14.449823,3.5872966
409,-3196905.6,-4437939.7,-11.16002,-14.917971,3.6706353
410,-3085443.1,-4437939.7,-11.026675,-15.239791,3.7291104
411,-3008836.5,-4437939.7,-10.92366,-15.460667,3.7697956
412,-2956185.9,-4437939.7,-10.847334,-15.612192,3.7979165
413,-2920000.0,-4437939.7,-10.792194,-15.716158,3.8171896
414,-2840000.0,-4437939.7,-10.662858,-15.945395,3.8591734
415,-2760000.0,-4437939.7,-10.523118,-16.173547,3.9009509
416,-2680000.0,-4437939.7,-10.372838,-16.400345,3.9426233
417,-2600000.0,-4437939.7,-10.211974,-16.625509,3.9842683
418,-2520000.0,-4437939.7,-10.040433,-16.84875,4.0258584
419,-2440000.0,-4437939.7,-9.8582107,-17.069769,4.0673325
420,-2360000.0,-4437939.7,-9.6652703,-17.28826,4.1086067
421,-2280000.0,-4437939.7,-9.461644,-17.50391,4.1495934
422,-2200000.0,-4437939.7,-9.2473447,-17.716396,4.1902066
423,-2120000.0,-4437939.7,-9.0224408,-17.925392,4.2303623
424,-2040000.0,-4437939.7,-8.7869938,-18.130566,4.2699785
425,-1960000.0,-4437939.7,-8.5411122,-18.331581,4.3089728
426,-1880000.0,-4437939.7,-8.2849079,-18.528096,4.3472631
